city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Villa Ballester,Villa Ballester,-34.5167,-58.5333,Argentina,AR,ARG,Buenos Aires,,35301,1032048875
Monte Caseros,Monte Caseros,-30.25,-57.65,Argentina,AR,ARG,Corrientes,minor,23470,1032051417
Santa Mar°a,Santa Maria,-26.6833,-66.0333,Argentina,AR,ARG,Catamarca,minor,26929,1032055755
Eldorado,Eldorado,-26.4,-54.6333,Argentina,AR,ARG,Misiones,minor,57323,1032056096
Ciudadela,Ciudadela,-34.6333,-58.5333,Argentina,AR,ARG,Buenos Aires,,73155,1032060423
Santa Rosa de R°o Primero,Santa Rosa de Rio Primero,-31.15,-63.3833,Argentina,AR,ARG,C¢rdoba,minor,10873,1032062100
Nogoy†,Nogoya,-32.4,-59.8,Argentina,AR,ARG,Entre R°os,minor,22824,1032062118
San Salvador,San Salvador,-31.6167,-58.5,Argentina,AR,ARG,Entre R°os,minor,12733,1032064102
Mar de Aj¢,Mar de Ajo,-36.7203,-56.6878,Argentina,AR,ARG,Buenos Aires,,25520,1032066406
Daireaux,Daireaux,-36.6,-61.75,Argentina,AR,ARG,Buenos Aires,minor,16804,1032067440
San Nicol†s de los Arroyos,San Nicolas de los Arroyos,-33.3333,-60.2167,Argentina,AR,ARG,Buenos Aires,minor,160000,1032067887
Magdalena,Magdalena,-35.0833,-57.5167,Argentina,AR,ARG,Buenos Aires,minor,9294,1032068018
Esteban Echeverr°a,Esteban Echeverria,-34.8167,-58.4667,Argentina,AR,ARG,Buenos Aires,minor,109644,1032069640
Cutral-C¢,Cutral-Co,-38.9333,-69.2333,Argentina,AR,ARG,NeuquÇn,,40344,1032070013
Acasusso,Acasusso,-34.4667,-58.5167,Argentina,AR,ARG,Buenos Aires,,12842,1032071091
Burzaco,Burzaco,-34.8167,-58.3667,Argentina,AR,ARG,Buenos Aires,,98859,1032073218
General Alvear,General Alvear,-36.0333,-60.0167,Argentina,AR,ARG,Buenos Aires,minor,9812,1032075005
Tandil,Tandil,-37.3167,-59.1333,Argentina,AR,ARG,Buenos Aires,minor,400,1032075057
Fr°as,Frias,-28.6333,-65.1333,Argentina,AR,ARG,Santiago del Estero,minor,26649,1032077058
Gualeguay,Gualeguay,-33.15,-59.3333,Argentina,AR,ARG,Entre R°os,minor,43009,1032077195
Chilecito,Chilecito,-29.1667,-67.5,Argentina,AR,ARG,La Rioja,minor,33724,1032078195
General Pico,General Pico,-35.6667,-63.7333,Argentina,AR,ARG,La Pampa,minor,57669,1032081531
Justo Daract,Justo Daract,-33.8667,-65.1667,Argentina,AR,ARG,San Luis,,12135,1032088229
Carmen de Areco,Carmen de Areco,-34.3858,-59.8294,Argentina,AR,ARG,Buenos Aires,minor,12008,1032088260
San Roque,San Roque,-28.5667,-58.7167,Argentina,AR,ARG,Corrientes,minor,10885,1032090970
Villa Luzuriaga,Villa Luzuriaga,-34.6667,-58.5833,Argentina,AR,ARG,Buenos Aires,,94403,1032092344
Las Lajas,Las Lajas,-38.6,-70.3,Argentina,AR,ARG,NeuquÇn,minor,6215,1032092474
Ober†,Obera,-27.4833,-55.1333,Argentina,AR,ARG,Misiones,minor,66112,1032099071
El TrÇbol,El Trebol,-32.1833,-61.7167,Argentina,AR,ARG,Santa Fe,,11086,1032100113
R°o Tercero,Rio Tercero,-32.1833,-64.1,Argentina,AR,ARG,C¢rdoba,,46421,1032103221
San Carlos de Bariloche,San Carlos de Bariloche,-41.15,-71.3,Argentina,AR,ARG,R°o Negro,minor,112887,1032111842
Villaguay,Villaguay,-31.85,-59.0167,Argentina,AR,ARG,Entre R°os,minor,49445,1032112502
Monte Cristo,Monte Cristo,-31.3431,-63.9444,Argentina,AR,ARG,C¢rdoba,,18254,1032121160
Castelar,Castelar,-34.6667,-58.6667,Argentina,AR,ARG,Buenos Aires,,107786,1032123891
JosÇ M†rmol,Jose Marmol,-34.7833,-58.3667,Argentina,AR,ARG,Buenos Aires,,41109,1032126414
Rufino,Rufino,-34.2619,-62.7114,Argentina,AR,ARG,Santa Fe,,18980,1032127696
Santa Mar°a,Santa Maria,-31.2611,-64.4639,Argentina,AR,ARG,C¢rdoba,,9526,1032132957
Chepes,Chepes,-31.35,-66.6,Argentina,AR,ARG,La Rioja,minor,6020,1032137147
Allen,Allen,-38.9667,-67.8333,Argentina,AR,ARG,R°o Negro,,31864,1032144191
Chajar°,Chajari,-30.7667,-57.9833,Argentina,AR,ARG,Entre R°os,,45848,1032147348
Remedios de Escalada,Remedios de Escalada,-34.7167,-58.4,Argentina,AR,ARG,Buenos Aires,,81465,1032150292
Las Lomitas,Las Lomitas,-24.7072,-60.5944,Argentina,AR,ARG,Formosa,,12399,1032153825
Sauce,Sauce,-30.0667,-58.7667,Argentina,AR,ARG,Corrientes,minor,9115,1032154340
San Antonio Oeste,San Antonio Oeste,-40.7333,-64.95,Argentina,AR,ARG,R°o Negro,minor,16265,1032154473
R°o Mayo,Rio Mayo,-45.6869,-70.26,Argentina,AR,ARG,Chubut,,2791,1032155044
Tinogasta,Tinogasta,-28.0667,-67.5667,Argentina,AR,ARG,Catamarca,minor,11485,1032163046
Diamante,Diamante,-32.0667,-60.65,Argentina,AR,ARG,Entre R°os,minor,19142,1032164257
Paso de los Libres,Paso de los Libres,-29.7167,-57.0833,Argentina,AR,ARG,Corrientes,minor,43251,1032166435
Capilla del Se§or,Capilla del Senor,-34.2833,-59.1,Argentina,AR,ARG,Buenos Aires,minor,9244,1032168682
Ayacucho,Ayacucho,-37.1333,-58.4667,Argentina,AR,ARG,Buenos Aires,minor,17364,1032171567
Corrientes,Corrientes,-27.4833,-58.8167,Argentina,AR,ARG,Corrientes,admin,352646,1032173097
PÇrez,Perez,-33,-60.7667,Argentina,AR,ARG,Santa Fe,,26448,1032176211
Ituzaing¢,Ituzaingo,-27.6,-56.6667,Argentina,AR,ARG,Corrientes,minor,19575,1032176829
Las Flores,Las Flores,-36.0139,-59.1,Argentina,AR,ARG,Buenos Aires,minor,26651,1032178626
Palpal†,Palpala,-24.25,-65.1167,Argentina,AR,ARG,Jujuy,minor,50183,1032181212
Rafaela,Rafaela,-31.2667,-61.4833,Argentina,AR,ARG,Santa Fe,minor,92945,1032181625
Bella Vista,Bella Vista,-28.4667,-59.05,Argentina,AR,ARG,Corrientes,minor,29071,1032181684
Temperley,Temperley,-34.7667,-58.3833,Argentina,AR,ARG,Buenos Aires,,121451,1032183944
Banda del R°o Sal°,Banda del Rio Sali,-26.85,-65.1667,Argentina,AR,ARG,Tucum†n,minor,63226,1032189775
San Antonio de los Cobres,San Antonio de los Cobres,-24.2178,-66.32,Argentina,AR,ARG,Salta,minor,5482,1032191344
Castelli,Castelli,-25.95,-60.6167,Argentina,AR,ARG,Chaco,minor,27201,1032193694
Melchor Romero,Melchor Romero,-34.9492,-58.0472,Argentina,AR,ARG,Buenos Aires,,22511,1032196678
Longchamps,Longchamps,-34.85,-58.3833,Argentina,AR,ARG,Buenos Aires,,47622,1032203390
El Calafate,El Calafate,-50.3378,-72.26,Argentina,AR,ARG,Santa Cruz,minor,22844,1032210475
Chacabuco,Chacabuco,-34.6333,-60.4667,Argentina,AR,ARG,Buenos Aires,minor,38418,1032210547
Claypole,Claypole,-34.8,-58.3333,Argentina,AR,ARG,Buenos Aires,,41176,1032211279
Puerto Rico,Puerto Rico,-26.8,-55.0167,Argentina,AR,ARG,Misiones,minor,17491,1032211947
Gerli,Gerli,-34.6833,-58.3667,Argentina,AR,ARG,Buenos Aires,,64640,1032212619
Pergamino,Pergamino,-33.8833,-60.5667,Argentina,AR,ARG,Buenos Aires,minor,104985,1032214150
Santa Rosa,Santa Rosa,-36.6167,-64.2833,Argentina,AR,ARG,La Pampa,admin,102880,1032215828
Cosqu°n,Cosquin,-31.2436,-64.4653,Argentina,AR,ARG,C¢rdoba,minor,47785,1032221091
San Rafael,San Rafael,-34.6,-68.3333,Argentina,AR,ARG,Mendoza,minor,215020,1032221516
Morteros,Morteros,-30.7,-62,Argentina,AR,ARG,C¢rdoba,,16890,1032224912
Navarro,Navarro,-35.0167,-59.2667,Argentina,AR,ARG,Buenos Aires,minor,11562,1032226525
Merlo,Merlo,-34.6653,-58.7275,Argentina,AR,ARG,Buenos Aires,minor,244168,1032232613
Ensenada Berisso,Ensenada Berisso,-34.8667,-57.9,Argentina,AR,ARG,Buenos Aires,,63997,1032233844
San Miguel de Tucum†n,San Miguel de Tucuman,-26.8167,-65.2167,Argentina,AR,ARG,Tucum†n,admin,605767,1032233996
Los Polvorines,Los Polvorines,-34.5,-58.7,Argentina,AR,ARG,Buenos Aires,minor,60867,1032236823
La Cruz,La Cruz,-28.1833,-56.65,Argentina,AR,ARG,Corrientes,minor,8591,1032237571
Libertad,Libertad,-34.6833,-58.6833,Argentina,AR,ARG,Buenos Aires,,100324,1032241314
Charata,Charata,-27.2167,-61.2,Argentina,AR,ARG,Chaco,minor,26497,1032241417
El Palomar,El Palomar,-34.6167,-58.5833,Argentina,AR,ARG,Buenos Aires,,59031,1032243275
San Jorge,San Jorge,-31.8961,-61.8597,Argentina,AR,ARG,Santa Fe,,19521,1032250388
Brandsen,Brandsen,-35.1667,-58.2167,Argentina,AR,ARG,Buenos Aires,minor,30026,1032251860
Goya,Goya,-29.1333,-59.25,Argentina,AR,ARG,Corrientes,minor,72304,1032251925
Wilde,Wilde,-34.7,-58.3167,Argentina,AR,ARG,Buenos Aires,,65881,1032256650
San Javier,San Javier,-30.5833,-59.95,Argentina,AR,ARG,Santa Fe,minor,13604,1032258062
Capilla del Monte,Capilla del Monte,-30.85,-64.5167,Argentina,AR,ARG,C¢rdoba,,11181,1032258122
Mart°n Coronado,Martin Coronado,-34.6,-58.55,Argentina,AR,ARG,Buenos Aires,,19121,1032260556
Catamarca,Catamarca,-28.4667,-65.7833,Argentina,AR,ARG,Catamarca,admin,159139,1032260908
Santa Rosa,Santa Rosa,-33.25,-68.15,Argentina,AR,ARG,Mendoza,minor,15818,1032261452
Senillosa,Senillosa,-39.01,-68.43,Argentina,AR,ARG,NeuquÇn,,11229,1032262711
Godoy Cruz,Godoy Cruz,-32.9167,-68.8333,Argentina,AR,ARG,Mendoza,minor,191299,1032263200
Ca§ada de G¢mez,Canada de Gomez,-32.8167,-61.4,Argentina,AR,ARG,Santa Fe,minor,32108,1032264958
Paran†,Parana,-31.7331,-60.5297,Argentina,AR,ARG,Entre R°os,admin,268889,1032266693
Chivilcoy,Chivilcoy,-34.9,-60.0167,Argentina,AR,ARG,Buenos Aires,minor,58152,1032269915
Marcos Paz,Marcos Paz,-34.7667,-58.8333,Argentina,AR,ARG,Buenos Aires,minor,39151,1032271998
San Vicente,San Vicente,-35.0167,-58.4167,Argentina,AR,ARG,Buenos Aires,minor,44529,1032278022
Gobernador Virasora,Gobernador Virasora,-28.05,-56.0333,Argentina,AR,ARG,Corrientes,minor,30666,1032278994
Aldo Bonzi,Aldo Bonzi,-34.7083,-58.5181,Argentina,AR,ARG,Buenos Aires,,18175,1032281187
Villalonga,Villalonga,-39.8829,-62.5833,Argentina,AR,ARG,Buenos Aires,,2838,1032282782
Venado Tuerto,Venado Tuerto,-33.75,-61.9667,Argentina,AR,ARG,Santa Fe,,83263,1032284763
El MaitÇn,El Maiten,-42.05,-71.1667,Argentina,AR,ARG,Chubut,,4011,1032286116
BelÇn de Escobar,Belen de Escobar,-34.3333,-58.8167,Argentina,AR,ARG,Buenos Aires,minor,54678,1032287290
Nueve de Julio,Nueve de Julio,-35.45,-60.8833,Argentina,AR,ARG,Buenos Aires,minor,36494,1032287957
Llavallol,Llavallol,-34.7667,-58.3833,Argentina,AR,ARG,Buenos Aires,,41463,1032288016
Tres Arroyos,Tres Arroyos,-38.3667,-60.2667,Argentina,AR,ARG,Buenos Aires,minor,62835,1032291724
La Paz,La Paz,-33.4667,-67.55,Argentina,AR,ARG,Mendoza,minor,9560,1032294439
San Mart°n,San Martin,-33.0806,-68.4706,Argentina,AR,ARG,Mendoza,minor,79476,1032297325
Berisso,Berisso,-34.8728,-57.8858,Argentina,AR,ARG,Buenos Aires,minor,88470,1032298172
Capit†n Sarmiento,Capitan Sarmiento,-34.1667,-59.7833,Argentina,AR,ARG,Buenos Aires,minor,15965,1032299456
Rawson,Rawson,-43.3,-65.1,Argentina,AR,ARG,Chubut,admin,24616,1032302344
Villa La Angostura,Villa La Angostura,-40.7625,-71.6463,Argentina,AR,ARG,NeuquÇn,minor,14246,1032303492
Vera,Vera,-29.4667,-60.2167,Argentina,AR,ARG,Santa Fe,minor,19185,1032305174
San Antonio de Padua,San Antonio de Padua,-34.6667,-58.7,Argentina,AR,ARG,Buenos Aires,,37775,1032305331
Bernardo de Irigoyen,Bernardo de Irigoyen,-26.25,-53.9833,Argentina,AR,ARG,Misiones,minor,10889,1032306627
Baradero,Baradero,-33.8,-59.5167,Argentina,AR,ARG,Buenos Aires,minor,28537,1032310302
Perico,Perico,-24.3833,-65.1167,Argentina,AR,ARG,Jujuy,,49422,1032311079
Trenque Lauquen,Trenque Lauquen,-35.9667,-62.7,Argentina,AR,ARG,Buenos Aires,minor,46019,1032312344
Lobos,Lobos,-35.1833,-59.0833,Argentina,AR,ARG,Buenos Aires,minor,31190,1032314483
Tartagal,Tartagal,-22.5,-63.8333,Argentina,AR,ARG,Salta,minor,63196,1032317391
La Banda,La Banda,-27.7333,-64.25,Argentina,AR,ARG,Santiago del Estero,minor,106441,1032317566
Munro,Munro,-34.5333,-58.5167,Argentina,AR,ARG,Buenos Aires,,35844,1032318811
Puerto Iguaz£,Puerto Iguazu,-25.6,-54.5667,Argentina,AR,ARG,Misiones,,82227,1032320107
Embarcaci¢n,Embarcacion,-23.2167,-64.1,Argentina,AR,ARG,Salta,,23964,1032320491
Tres Isletas,Tres Isletas,-26.35,-60.4167,Argentina,AR,ARG,Chaco,minor,24747,1032320525
Villa Celina,Villa Celina,-34.7167,-58.4833,Argentina,AR,ARG,"Buenos Aires, Ciudad Aut¢noma de",,78699,1032320584
Ap¢stoles,Apostoles,-27.9167,-55.7667,Argentina,AR,ARG,Misiones,minor,40858,1032321516
Corral de Bustos,Corral de Bustos,-33.2833,-62.2,Argentina,AR,ARG,C¢rdoba,,10407,1032324190
Villa San JosÇ,Villa San Jose,-32.2,-58.2167,Argentina,AR,ARG,Entre R°os,,16336,1032325673
General Deheza,General Deheza,-32.7564,-63.7889,Argentina,AR,ARG,C¢rdoba,,18000,1032325674
Urdinarrain,Urdinarrain,-32.6856,-58.8867,Argentina,AR,ARG,Entre R°os,,8986,1032326044
PiranÇ,Pirane,-25.7328,-59.11,Argentina,AR,ARG,Formosa,minor,64556,1032332556
Lincoln,Lincoln,-34.85,-61.5167,Argentina,AR,ARG,Buenos Aires,minor,28051,1032332688
Los Blancos,Los Blancos,-23.6,-62.6,Argentina,AR,ARG,Salta,,1145,1032336288
Ciudad General Belgrano,Ciudad General Belgrano,-34.7167,-58.5333,Argentina,AR,ARG,Buenos Aires,,92957,1032336348
Bella Vista,Bella Vista,-27.0333,-65.3,Argentina,AR,ARG,Tucum†n,minor,15126,1032337057
Virreyes,Virreyes,-34.45,-58.5333,Argentina,AR,ARG,Buenos Aires,,39507,1032337826
JosÇ Mar°a Ezeiza,Jose Maria Ezeiza,-34.8333,-58.5167,Argentina,AR,ARG,Buenos Aires,minor,160219,1032337881
Mu§iz,Muniz,-34.5333,-58.7,Argentina,AR,ARG,Buenos Aires,,26221,1032339781
Santa Rosa de Calamuchita,Santa Rosa de Calamuchita,-32.0667,-64.5333,Argentina,AR,ARG,C¢rdoba,,19012,1032342654
Campana,Campana,-34.1667,-58.9167,Argentina,AR,ARG,Buenos Aires,minor,86860,1032345885
General JosÇ de San Mart°n,General Jose de San Martin,-26.5375,-59.3417,Argentina,AR,ARG,Chaco,minor,31758,1032349411
Puerto Madryn,Puerto Madryn,-42.7667,-65.05,Argentina,AR,ARG,Chubut,minor,115353,1032351657
Chascom£s,Chascomus,-35.575,-58.0089,Argentina,AR,ARG,Buenos Aires,minor,33607,1032352363
Carmen de Patagones,Carmen de Patagones,-40.7833,-62.9667,Argentina,AR,ARG,Buenos Aires,minor,20533,1032352587
Carcara§†,Carcarana,-32.85,-61.15,Argentina,AR,ARG,Santa Fe,,17350,1032358026
San Luis del Palmar,San Luis del Palmar,-27.5167,-58.5667,Argentina,AR,ARG,Corrientes,minor,15347,1032360742
Bat†n,Batan,-38.0078,-57.7097,Argentina,AR,ARG,Buenos Aires,,10152,1032360995
San Mart°n,San Martin,-31.4397,-68.5206,Argentina,AR,ARG,San Juan,minor,22046,1032363608
San AndrÇs de Giles,San Andres de Giles,-34.4333,-59.4333,Argentina,AR,ARG,Buenos Aires,minor,26510,1032365242
Zapala,Zapala,-38.9,-70.0667,Argentina,AR,ARG,NeuquÇn,minor,40472,1032365659
Alcorta,Alcorta,-33.5333,-61.1167,Argentina,AR,ARG,Santa Fe,,9870,1032368367
Villa Ojo de Agua,Villa Ojo de Agua,-29.5167,-63.7,Argentina,AR,ARG,Santiago del Estero,minor,15000,1032372035
Olavarr°a,Olavarria,-36.9,-60.3333,Argentina,AR,ARG,Buenos Aires,minor,89721,1032373353
General San Mart°n,General San Martin,-34.5667,-58.5333,Argentina,AR,ARG,Buenos Aires,minor,28339,1032374226
Villa Nueva,Villa Nueva,-32.4331,-63.2475,Argentina,AR,ARG,C¢rdoba,,18818,1032374249
Santo TomÇ,Santo Tome,-31.6667,-60.7667,Argentina,AR,ARG,Santa Fe,,65684,1032375645
Benito Ju†rez,Benito Juarez,-37.6667,-59.7833,Argentina,AR,ARG,Buenos Aires,minor,14279,1032382110
Curuz£ Cuati†,Curuzu Cuatia,-29.7833,-58.0833,Argentina,AR,ARG,Corrientes,minor,34470,1032386934
Avellaneda,Avellaneda,-29.1175,-59.6583,Argentina,AR,ARG,Santa Fe,,23341,1032387319
Romang,Romang,-29.5,-59.7667,Argentina,AR,ARG,Santa Fe,,9237,1032388161
El Talar de Pacheco,El Talar de Pacheco,-34.4719,-58.655,Argentina,AR,ARG,Buenos Aires,,50426,1032391611
Victorica,Victorica,-36.2167,-65.45,Argentina,AR,ARG,La Pampa,minor,4458,1032392251
Z†rate,Zarate,-34.0833,-59.0333,Argentina,AR,ARG,Buenos Aires,minor,109443,1032392383
Mburucuy†,Mburucuya,-28.05,-58.2333,Argentina,AR,ARG,Corrientes,minor,9012,1032397910
Federal,Federal,-30.95,-58.8,Argentina,AR,ARG,Entre R°os,minor,16075,1032401212
Ingeniero Jacobacci,Ingeniero Jacobacci,-41.3,-69.5833,Argentina,AR,ARG,R°o Negro,,6261,1032402027
Rivadavia,Rivadavia,-31.5303,-68.5947,Argentina,AR,ARG,San Juan,minor,82582,1032402116
La Plata,La Plata,-34.9211,-57.9544,Argentina,AR,ARG,Buenos Aires,admin,904789,1032403831
Alta Gracia,Alta Gracia,-31.6667,-64.4333,Argentina,AR,ARG,C¢rdoba,minor,48140,1032411567
General Arenales,General Arenales,-34.2833,-61.2833,Argentina,AR,ARG,Buenos Aires,minor,16350,1032412729
La Falda,La Falda,-31.0833,-64.5,Argentina,AR,ARG,C¢rdoba,,16335,1032413311
Sierra Colorada,Sierra Colorada,-40.5833,-67.8,Argentina,AR,ARG,R°o Negro,minor,1542,1032417224
Trancas,Trancas,-26.2172,-65.2831,Argentina,AR,ARG,Tucum†n,minor,3391,1032418123
Alejandro Korn,Alejandro Korn,-34.9667,-58.3667,Argentina,AR,ARG,Buenos Aires,,21407,1032420273
Armstrong,Armstrong,-32.7833,-61.6,Argentina,AR,ARG,Santa Fe,,11181,1032420901
Choele Choel,Choele Choel,-39.2667,-65.6833,Argentina,AR,ARG,R°o Negro,minor,10146,1032421959
Guernica,Guernica,-34.9167,-58.3833,Argentina,AR,ARG,Buenos Aires,minor,52529,1032422310
G†lvez,Galvez,-32.0333,-61.2167,Argentina,AR,ARG,Santa Fe,,20100,1032423534
Ramos Mej°a,Ramos Mejia,-34.65,-58.5667,Argentina,AR,ARG,Buenos Aires,,120346,1032425368
General Pinedo,General Pinedo,-27.3167,-61.2833,Argentina,AR,ARG,Chaco,minor,15741,1032426830
Rinconada,Rinconada,-22.4333,-66.1667,Argentina,AR,ARG,Jujuy,minor,364,1032429190
Mendoza,Mendoza,-32.8897,-68.8444,Argentina,AR,ARG,Mendoza,admin,115041,1032433516
Ingeniero White,Ingeniero White,-38.7667,-62.2667,Argentina,AR,ARG,Buenos Aires,,10486,1032437098
Trelew,Trelew,-43.25,-65.3,Argentina,AR,ARG,Chubut,,97915,1032440034
Chimbas,Chimbas,-31.5,-68.5319,Argentina,AR,ARG,San Juan,minor,87258,1032442768
Coronel Su†rez,Coronel Suarez,-37.4667,-61.9333,Argentina,AR,ARG,Buenos Aires,minor,42276,1032444981
La Lucila,La Lucila,-34.4833,-58.4833,Argentina,AR,ARG,Buenos Aires,,15844,1032447032
Villa General Belgrano,Villa General Belgrano,-31.9667,-64.5667,Argentina,AR,ARG,C¢rdoba,,11656,1032447209
General Belgrano,General Belgrano,-35.7667,-58.5,Argentina,AR,ARG,Buenos Aires,minor,20791,1032451126
Mariano Acosta,Mariano Acosta,-34.7167,-58.7833,Argentina,AR,ARG,Buenos Aires,,54081,1032455258
Grand Bourg,Grand Bourg,-34.4833,-58.7167,Argentina,AR,ARG,Buenos Aires,,85189,1032455832
Mar del Plata,Mar del Plata,-38,-57.55,Argentina,AR,ARG,Buenos Aires,minor,682605,1032456103
